subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CDMS-11-6B-ARAHE,0.7119352416394789,-0.3630854237011132,-0.3119630259264328,0.03444500883443331,13,14.512773242287812
CDMS-11-6B-AVROTO,-0.13264343809792903,-0.4305599679976223,-0.4441123840904613,-0.29417712817580505,15,13.139948523079624
CDMS-11-6B-EAFESA,-0.0545330206067175,-0.39073871206219973,-0.41210792563141285,0.06483045374076353,2,13.648892236881883
CDMS-11-6B-EFRGR,-0.007068929024888575,-0.3695923713485845,-0.38796625980310695,0.12914923074358642,10,13.805963112008449
CDMS-11-6B-EROCO,-0.1589769438437766,-0.3944369004853966,-0.42344013095883737,0.21861624309918368,13,13.683203709252611
CDMS-11-6B-JACUPE,-0.16481451691906043,-0.4386062705779656,-0.4224450965347663,0.2204181148867128,22,13.635993672296358
CDMS-11-6B-JDCHBA,-0.1044096094257268,-0.25863004155932123,-0.22293655357724376,0.15210000467771365,13,14.007565241556872
CDMS-11-6B-JFSAHE,-0.12066727028240627,-0.4128737021211067,-0.4365992260398757,0.037431046806752855,12,13.508732289804808
CDMS-11-6B-JLPENA,-0.16608411559167166,-0.3481654804471501,-0.3638972075410183,0.08686951428616127,7,13.650164152147758
CDMS-11-6B-JMARME,-0.18268404277617864,-0.2828710107906345,-0.33224131112743177,0.0701463896343278,8,13.713791466381506
CDMS-11-6B-JPSAMA,-0.18983684280326216,-0.5637568247047247,-0.5625556379309145,-0.48352463524889094,0,12.64176750075365
CDMS-11-6B-LESTA,-0.08082101937528409,-0.3615873069547921,-0.40127717704669785,0.08318288285942087,21,13.68093882092409
CDMS-11-6B-MEBRTA,-0.13328194061160914,-0.29953831389211644,0.24782023783586377,0.07744898032600935,17,14.333890405099583
CDMS-11-6B-MMAMO,-0.2046198809480797,-0.4370500777078028,-0.4013254992476672,0.03302808739145589,9,13.43147407092934
CDMS-11-6B-RSECA,-0.14707561806702793,-0.27915343037047413,0.16274920346311939,0.03878721219656435,1,14.216748808663604
CDMS-11-6B-SCAPA,-0.19179147337481256,-0.24816363507837924,-0.2485900152302716,-0.35329673553308466,10,13.399599582224887
CDMS-11-6B-VZAPE,0.0746970225759395,0.1785996857255442,1.291597611848281,0.15193117587307836,21,16.138266937464284
CDMS-11-6B-YLNIME,-0.13281570886725966,-0.5138982345425516,-0.567107832391363,-0.49225058143795986,8,12.735369084202308
CDMS-11-7C-ICARE,-0.13721214426602654,1.1813708555303921,-0.18915479618480366,-0.07749206062480914,17,15.218953295896188
CDMS-11-7C-SALMA,0.4284869678741268,-0.2815610647560884,-0.31324900524847343,0.06179833156749348,18,14.3369166708785
CDMS-11-7C-SPGAVE,-0.11169007963706865,-0.40946045990537905,-0.4975871383160946,0.010174662346613766,8,13.43287842592951
CDMS-12-5A-SRIGO,0.21834377787432374,0.8070571687094664,-0.18471431304953081,0.19215707830105422,15,15.474285153276753
CDMS-12-6A-FAROPA,-0.12653584890353187,-0.33723680540923373,-0.3564663057532508,0.022553600099186014,23,13.643756081474608
CDMS-12-6A-JGIGA,-0.17119386473798273,-0.44981343890266684,-0.46701689043713607,-0.5089557513692369,1,12.84446149599442
CDMS-12-6A-SROAL,-0.03426890955186852,-0.14244370377789542,-0.03148335186251868,0.06785486988306266,24,14.301100346132225
CDMS-12-6B-IJDAGA,-0.1300591421801962,1.1069227332716411,0.534481171602287,0.2274108857587449,25,16.180197089893912
CDMS-12-6B-SCLAG,-0.13516180689538115,0.41626841770182355,0.5896817443086795,0.1829571040542834,31,15.495186900610843
CDMS-12-7C-CATRAR,-0.14808504258926442,-0.15738511124322682,-0.03502339594872058,-0.23872650276458363,12,13.862221388895646
CDMS-12-7C-DLOLO,-0.14766620745294168,0.19152409020902603,2.0507886799602484,0.16804251864206884,19,16.70413052279983
CDMS-12-7C-JSZAOR,-0.10933887635368339,-0.381187567184492,-0.2950391520871882,0.055552836603723496,10,13.711428682419806
CDMS-12-7C-MAROBE,-0.19628329494157074,-0.2172201609379274,-0.16199474159401833,-0.03724504824036486,9,13.828698195727558
CDMS-12-7C-VMAPA,-0.04669900249824089,-0.20775605937739497,-0.17620382741049,-0.04987031338952543,12,13.960912238765793
CDMS-12-7C-VQURA,-0.1906104487268658,-0.38112492508102214,-0.38179986290269374,-0.023286341326326444,13,13.464619863404533
CDMS-13-6B-JDTAHE,-0.015263597866478441,0.0148444183757842,0.23825489820870838,0.07480892440512889,21,14.754086084564571
CDMS-13-7C-MVEAR,-0.05192402564073106,3.6339523634476327,2.231597587780171,0.3276855132374717,27,20.582752880265986
CDMS-13-7C-RAIZAC,-0.1285990886363264,-0.36347615862808486,-0.3442729309483972,-0.07599544200805307,5,13.529097821220574
CDMS-13-7C-SSOSLO,-0.10556223095317338,2.7035696947779306,1.9165624233175298,-0.01089422759137083,23,18.945117100992352
CDMS-14-10A-IMORTO,-0.13483411996938083,-0.48169824398084893,-0.5278781165586753,-0.31680532149813107,11,12.980225639434403
CDMS-14-10A-JCVANI,-0.20572915326854269,-0.41318849933670954,-0.3762379718153292,0.03972769321187754,22,13.48601351023273
